b1,b2,b3,b4,soil_type
47,34,125,135,2
47,34,131,135,2
44,31,120,139,2
44,31,125,135,2
44,40,120,120,2
84,106,111,87,3
92,111,115,91,3
84,102,115,87,3
92,111,115,91,3
88,106,115,91,3
88,115,115,91,3
92,106,111,87,3
84,111,115,87,3
88,111,120,91,3
80,98,102,83,3
76,89,86,72,7
72,85,86,72,7
64,73,74,57,7
88,116,122,96,3
84,107,113,85,3
80,99,104,78,3
84,95,100,78,4
80,99,100,74,3
80,91,91,70,4
43,31,133,139,2
46,31,133,139,2
88,107,113,85,3
88,107,113,88,3
84,107,113,88,3
92,112,122,92,3
88,112,113,85,3
88,112,113,92,3
88,103,108,85,3
88,107,118,88,3
88,103,113,85,3
68,79,83,67,7
71,83,87,70,7
76,87,91,70,7
76,83,87,67,7
71,79,83,67,7
71,83,79,63,7
88,111,113,92,3
79,99,104,79,3
79,95,100,75,4
44,32,139,154,2
44,32,134,137,2
48,34,128,129,2
48,37,123,125,2
44,37,123,129,2
88,107,113,87,3
93,107,113,92,3
88,103,113,87,3
84,103,104,83,3
88,107,113,87,3
93,111,109,92,3
88,107,113,92,3
84,103,109,87,3
88,103,109,87,3
84,107,118,92,3
88,107,109,83,3
88,103,113,87,3
71,79,77,62,7
71,79,85,62,7
71,79,85,67,7
90,109,117,89,3
86,109,104,85,3
82,100,100,81,3
82,96,96,78,4
46,29,127,136,2
46,32,127,133,2
46,32,117,129,2
46,34,122,125,2
49,37,117,125,2
90,104,108,85,3
86,104,104,85,3
86,109,104,85,3
86,109,112,85,3
86,109,112,89,3
90,113,112,89,3
86,109,112,89,3
86,109,112,89,3
90,104,108,85,3
90,104,112,85,3
90,113,112,96,3
95,113,112,92,3
86,104,108,85,3
70,75,76,63,7
70,79,84,66,7
70,79,84,66,7
74,87,92,74,7
74,83,88,70,7
92,117,119,98,3
96,112,119,94,3
83,95,101,79,4
52,42,119,124,2
49,37,130,131,2
42,32,124,139,2
42,32,135,139,2
46,40,119,139,2
42,30,130,142,2
46,30,124,135,2
46,34,130,131,2
46,34,119,124,2
46,34,124,124,2
87,103,110,86,3
87,103,110,86,3
92,108,119,94,3
83,103,105,90,3
87,103,105,83,3
92,117,119,94,3
75,84,93,72,7
75,84,90,68,7
67,73,79,60,7
71,73,79,64,7
67,77,79,64,7
63,70,72,60,7
93,115,119,94,3
44,34,124,133,2
44,34,129,140,2
44,34,119,136,2
82,92,101,80,3
85,106,110,90,3
89,111,110,87,3
93,106,114,90,3
93,111,114,90,3
89,106,114,87,3
89,106,105,87,3
85,106,110,87,3
89,111,105,90,3
89,111,110,90,3
89,111,114,94,3
67,79,78,62,5
67,75,82,69,7
67,75,78,58,7
63,63,74,58,7
67,71,74,65,7
60,63,70,58,7
88,111,115,91,3
88,111,115,91,3
47,34,125,135,2
47,31,131,135,2
47,34,136,139,2
44,31,125,135,2
44,31,125,135,2
44,31,131,142,2
44,31,136,142,2
44,34,115,124,2
47,37,120,124,2
47,37,120,124,2
44,37,120,124,2
50,40,111,109,2
88,106,111,87,3
88,102,106,87,3
88,111,111,91,3
88,111,111,91,3
88,111,115,87,3
88,111,115,87,3
88,111,115,87,3
92,111,120,91,3
80,98,102,76,3
60,69,67,54,5
64,62,71,50,5
60,62,67,50,5
64,66,67,54,7
72,81,90,76,7
72,81,86,68,7
68,73,82,65,7
92,116,118,92,3
88,107,113,88,3
88,107,113,88,3
92,112,118,88,3
88,107,113,88,3
84,95,100,85,4
80,95,100,74,4
46,36,122,139,2
46,31,139,143,2
43,31,133,143,2
43,29,133,143,2
50,31,128,132,2
50,36,118,128,2
46,29,133,139,2
46,31,133,135,2
46,31,122,132,2
46,34,122,128,2
46,36,122,121,2
46,36,118,128,2
88,107,108,88,3
92,112,113,92,3
92,112,118,92,3
92,112,118,92,3
53,54,53,38,5
68,79,79,67,7
68,83,83,67,7
71,83,87,70,7
71,75,79,63,7
68,75,75,59,7
68,68,71,56,7
88,111,113,92,3
84,111,113,92,3
93,111,113,92,3
93,111,118,92,3
44,37,134,137,2
44,34,139,146,2
48,32,134,141,2
48,32,134,133,2
48,37,123,129,2
48,37,113,116,2
48,34,123,125,2
48,37,118,121,2
79,95,100,79,3
88,103,104,83,3
93,107,113,92,3
88,111,118,87,3
88,107,109,87,3
93,111,113,87,3
55,54,57,37,5
59,54,63,42,5
55,54,63,46,5
55,54,67,50,5
55,54,60,46,5
63,68,77,62,7
67,72,74,58,7
63,68,70,58,7
67,75,74,62,7
75,91,96,79,7
71,79,85,67,7
63,68,74,58,7
67,72,74,62,7
95,113,117,92,3
95,118,122,96,3
99,118,117,92,3
95,113,117,96,3
82,91,92,78,4
46,32,133,136,2
46,32,122,129,2
52,43,104,103,2
49,37,117,122,2
46,29,127,133,2
46,32,112,118,2
46,34,112,118,2
46,34,112,114,2
49,34,112,111,2
49,34,112,118,2
49,34,117,125,2
90,104,112,89,3
90,109,117,89,3
90,113,112,92,3
90,109,112,89,3
90,109,117,96,3
74,91,96,78,7
59,53,62,44,5
66,75,80,63,7
70,71,73,63,7
63,67,73,55,7
63,67,69,55,7
66,71,73,59,7
63,67,66,55,7
96,112,114,90,3
92,117,119,98,3
46,32,135,142,2
46,32,124,139,2
42,32,124,135,2
46,32,119,135,2
49,37,105,113,2
49,37,110,116,2
46,37,114,116,2
92,108,110,90,3
92,108,110,90,3
96,112,114,90,3
92,108,119,90,3
96,112,119,94,3
92,108,114,94,3
67,77,86,68,7
59,57,55,42,5
52,51,72,57,5
56,51,65,49,5
59,51,65,45,5
63,66,79,64,7
67,73,79,64,7
63,63,72,57,7
63,63,72,57,7
67,70,72,60,7
93,115,114,90,3
93,106,114,90,3
89,102,110,83,3
82,92,101,80,3
82,88,89,73,4
78,92,101,76,4
44,34,119,140,2
44,34,124,140,2
44,37,119,129,2
44,43,105,111,2
44,31,114,122,2
85,102,110,83,3
93,111,114,90,3
97,111,114,94,3
85,97,105,76,3
63,67,74,58,7
60,67,67,55,5
57,63,63,51,5
53,53,60,44,5
53,53,74,62,5
53,53,70,58,5
53,56,67,48,5
57,60,74,58,5
57,53,67,51,5
57,56,70,51,5
60,60,70,65,5
67,75,78,65,7
84,94,102,76,4
80,89,94,76,4
76,89,98,76,4
84,94,98,76,4
76,85,90,72,4
76,85,90,72,4
80,89,94,76,4
47,31,131,142,2
44,31,136,139,2
44,31,125,139,2
44,31,125,128,2
47,34,120,124,2
44,34,115,120,2
47,31,125,128,2
47,37,111,113,2
97,120,120,98,3
97,120,120,94,3
88,115,120,94,3
57,55,60,46,5
53,55,60,42,5
60,59,67,54,5
60,59,71,57,5
53,52,71,50,5
53,52,71,50,5
57,55,67,54,5
53,49,64,50,5
53,52,78,57,5
57,52,71,61,5
60,62,78,68,5
80,91,96,78,4
80,91,96,78,4
46,31,118,125,2
50,39,104,103,2
71,75,87,63,7
64,68,75,56,7
64,71,75,56,7
71,79,83,67,7
71,87,96,74,7
84,99,104,81,3
68,79,83,67,7
71,79,87,70,7
68,75,79,63,7
60,57,75,67,5
53,45,75,59,5
56,51,71,56,5
56,51,71,56,5
53,51,75,63,5
46,34,118,128,2
43,29,122,128,2
84,91,96,75,4
84,95,104,79,4
79,99,96,79,4
44,32,128,133,2
48,32,123,129,2
44,34,118,121,2
44,34,118,129,2
67,75,81,62,7
79,99,96,79,3
71,75,85,67,7
71,79,81,67,7
71,83,89,75,7
59,58,77,71,5
59,58,81,67,5
59,58,77,67,5
55,45,70,54,5
55,51,77,67,5
55,51,77,67,5
41,27,134,146,2
41,27,134,137,2
41,27,123,133,2
82,96,100,78,4
82,100,96,81,4
82,96,100,81,4
78,91,96,78,4
78,91,96,78,4
49,34,122,125,2
46,32,117,125,2
46,32,117,122,2
46,32,122,125,2
46,29,122,129,2
70,71,80,59,7
63,67,69,55,7
63,71,69,55,7
70,79,80,63,7
70,79,80,63,7
70,79,80,63,7
74,87,92,74,7
66,71,88,70,5
59,56,80,70,5
59,60,80,63,5
52,49,76,66,5
56,49,73,59,5
56,49,69,52,5
56,46,69,52,5
56,53,73,63,5
46,29,117,133,2
43,27,127,147,2
83,95,97,75,4
83,95,101,79,4
79,91,101,75,4
83,95,97,75,4
83,103,105,83,3
83,103,105,83,3
83,103,105,86,3
52,37,114,124,2
67,73,79,57,7
71,77,90,64,7
71,81,82,64,7
75,84,90,75,7
71,81,93,75,7
59,60,82,68,5
59,57,82,68,5
56,48,75,64,5
56,51,72,57,5
56,51,75,68,5
52,51,79,68,5
46,30,124,142,2
42,30,124,146,2
82,92,101,80,4
93,115,110,90,3
47,37,110,122,2
47,37,119,133,2
67,67,67,51,7
63,63,67,51,7
60,67,70,51,7
63,67,70,55,7
63,71,74,55,7
70,79,78,58,7
70,79,82,62,7
70,79,78,65,7
74,84,82,69,7
74,84,93,73,7
74,84,89,76,7
70,84,85,69,7
70,84,89,73,7
53,46,78,69,5
53,49,74,58,5
42,29,119,136,2
44,31,124,140,2
44,34,110,115,2
50,37,101,104,2
97,111,115,94,3
92,106,106,87,3
92,106,106,83,3
92,106,111,87,3
68,69,78,54,7
64,69,71,54,7
64,69,67,54,7
64,66,67,54,7
68,73,78,57,7
72,77,78,57,7
68,73,86,72,7
72,81,86,72,7
72,81,82,68,7
68,77,90,72,7
68,77,90,76,7
57,52,78,72,5
57,52,78,72,5
50,46,78,76,5
53,49,82,65,5
44,37,94,98,2
44,31,115,124,2
47,37,106,109,2
41,34,115,113,2
44,29,115,120,2
92,107,118,85,3
92,107,113,85,3
92,107,113,88,3
92,107,113,92,3
92,107,113,88,3
64,71,75,59,7
71,71,75,52,7
60,71,71,56,7
68,68,75,56,7
64,71,67,59,7
68,71,75,59,7
68,71,75,56,7
64,68,87,78,5
68,75,83,67,7
71,79,87,74,7
56,57,87,74,5
56,54,83,74,5
46,36,104,107,2
43,31,104,107,2
43,31,104,114,2
43,29,108,114,2
93,116,123,96,3
97,116,118,96,3
97,111,113,92,3
97,111,118,92,3
93,111,113,92,3
93,111,109,87,3
93,107,113,92,3
88,111,118,92,3
84,103,109,83,3
67,75,77,62,7
67,68,77,54,7
63,72,74,58,7
67,72,77,54,7
67,72,70,54,7
67,72,70,54,7
67,75,77,58,7
63,68,85,79,5
67,68,89,79,5
67,72,85,71,5
71,72,77,67,5
63,54,81,71,5
67,68,81,67,5
48,37,100,104,2
51,32,100,108,2
48,37,104,112,2
44,32,104,116,2
48,29,100,100,2
44,34,104,104,2
41,32,109,112,2
95,118,122,96,3
95,118,117,92,3
99,118,117,92,3
95,113,122,92,3
99,113,122,96,3
86,104,108,85,3
63,71,73,55,7
63,67,66,55,7
63,67,73,55,7
63,71,76,55,7
66,75,80,59,7
63,71,73,55,7
66,75,76,59,7
66,75,76,59,7
66,71,76,55,7
66,71,73,55,7
74,79,88,66,7
66,75,84,70,5
66,71,84,70,5
66,75,88,70,7
70,79,88,74,4
63,67,80,63,5
46,32,104,114,2
46,34,104,114,2
46,29,108,122,2
43,32,104,107,2
43,32,100,107,2
40,32,100,107,2
96,112,114,94,3
92,108,114,94,3
96,112,114,94,3
67,73,75,49,7
63,66,72,53,7
63,70,75,57,7
67,73,75,60,7
67,73,79,60,7
67,73,75,57,7
67,77,82,64,7
71,77,72,64,7
71,77,86,60,7
71,77,93,79,5
71,73,93,79,5
67,73,90,75,5
63,66,82,68,5
71,84,93,75,4
75,88,93,75,4
46,32,101,116,2
46,32,101,116,2
42,32,101,127,2
42,30,105,113,2
93,115,114,90,3
97,111,119,94,3
93,106,114,90,3
97,115,114,90,3
89,111,114,87,3
93,111,110,87,3
85,97,105,80,3
63,67,70,51,7
60,67,74,55,7
63,67,74,58,7
63,71,74,58,7
67,75,78,58,7
67,75,82,62,7
67,75,78,58,7
67,79,82,62,7
70,84,82,62,7
70,79,85,69,7
74,88,93,73,7
74,84,89,73,7
67,79,93,76,5
70,79,89,80,5
67,75,85,65,4
44,31,101,119,2
44,34,110,122,2
44,29,114,126,2
44,29,105,119,2
44,34,105,104,2
92,111,115,91,3
97,115,120,94,3
88,106,111,87,3
84,98,102,83,4
80,98,98,76,4
64,73,74,57,7
68,77,74,57,7
64,73,78,61,7
72,73,82,61,7
72,77,74,57,7
68,77,74,57,7
64,69,74,57,7
68,73,74,57,7
64,73,74,57,7
68,77,74,61,7
72,81,86,68,7
76,85,90,72,7
76,85,94,76,7
72,89,94,79,4
72,85,86,72,4
47,34,106,113,2
44,29,111,128,2
44,31,106,124,2
50,34,106,113,2
92,107,118,96,3
92,112,113,92,3
88,103,104,85,3
76,87,91,74,7
68,68,75,52,7
64,75,79,56,7
68,75,75,59,7
64,75,79,59,7
68,71,75,59,7
64,75,75,59,7
68,79,79,59,7
68,75,83,63,7
71,79,87,63,7
71,83,87,63,7
76,91,96,74,7
68,83,83,70,4
46,34,100,107,2
40,31,104,125,2
43,31,108,121,2
93,111,118,92,3
79,95,100,79,4
71,75,77,58,7
67,79,77,58,7
67,75,81,58,7
67,75,74,58,7
67,72,74,54,7
67,75,74,58,7
67,68,74,58,7
75,83,89,67,7
75,79,89,71,4
41,32,104,121,2
44,32,109,125,2
67,79,85,67,4
99,118,122,96,3
95,113,112,92,3
90,104,108,85,3
74,83,88,66,7
66,75,80,59,7
66,75,80,59,7
63,71,73,59,7
63,75,73,59,7
70,79,80,63,7
46,32,100,107,2
46,34,104,107,2
46,27,108,129,2
92,112,119,90,3
67,73,79,57,7
71,77,79,60,7
67,73,79,57,7
63,73,75,57,7
63,73,79,57,7
63,70,75,57,7
67,70,75,60,7
67,77,79,64,7
71,84,90,72,4
71,84,86,72,4
75,84,97,72,4
52,40,97,101,2
89,102,101,83,3
93,120,119,97,3
70,84,82,58,7
63,75,78,55,7
67,75,82,62,7
63,71,78,58,7
63,67,74,62,7
63,71,74,58,7
63,75,85,58,7
63,79,85,62,7
63,79,82,65,7
70,111,114,90,1
67,84,89,73,4
74,88,89,73,4
74,84,89,73,4
88,120,120,91,3
84,98,102,79,4
80,98,94,72,4
72,81,86,65,7
68,77,78,61,7
68,73,74,57,7
64,77,74,57,7
64,77,78,61,7
64,77,74,65,7
68,77,82,65,7
68,77,78,57,7
68,73,78,54,7
64,69,74,57,7
64,73,74,57,7
64,73,78,61,7
68,77,86,65,7
60,77,82,65,7
72,115,120,102,1
68,81,86,68,4
72,89,94,76,4
68,81,90,68,4
92,116,122,96,3
84,95,100,78,4
76,87,91,67,4
71,83,87,70,7
68,75,79,63,7
68,75,75,56,7
71,75,75,56,7
68,75,75,59,7
60,75,79,59,7
68,79,83,63,7
64,83,83,67,7
68,79,83,63,7
68,79,83,63,7
68,71,75,59,7
64,79,83,63,7
68,79,83,67,7
71,83,91,74,4
76,87,91,78,4
76,91,96,74,4
68,79,79,63,7
80,99,104,78,4
76,95,96,78,4
67,75,74,58,7
75,91,93,75,4
71,79,81,62,7
67,79,77,58,7
71,75,77,58,7
71,83,85,62,7
71,79,85,67,7
67,83,81,67,7
67,79,81,62,7
67,72,77,58,7
67,79,81,62,7
75,99,109,87,1
75,116,123,100,1
75,116,123,100,1
71,83,93,71,4
71,68,77,62,7
67,68,77,58,7
67,72,77,62,7
75,91,93,71,4
66,75,80,59,7
66,75,80,63,7
66,79,84,63,7
82,100,104,81,4
78,96,100,74,4
82,100,104,81,4
70,79,80,59,7
70,75,73,59,7
63,75,80,59,7
66,79,84,63,7
63,60,88,85,5
59,56,88,85,5
59,60,100,81,5
70,75,76,59,7
74,100,108,92,1
74,113,122,100,1
66,113,122,100,1
66,109,122,100,1
66,100,108,89,1
63,67,66,55,7
74,87,96,74,4
67,73,79,57,7
75,84,93,75,4
79,91,101,79,4
83,103,105,83,4
83,99,105,83,4
71,81,90,68,7
75,88,93,68,7
71,77,82,64,7
63,66,93,79,5
63,63,93,83,5
59,63,90,79,5
67,99,105,86,1
67,103,114,90,1
71,81,86,64,7
63,66,68,57,7
71,84,90,72,4
75,88,90,72,4
78,92,93,73,4
67,75,78,62,7
63,75,78,58,7
63,79,78,62,7
82,102,105,83,4
82,97,105,83,4
85,102,105,83,4
82,92,97,76,4
78,88,97,76,4
85,102,110,80,4
57,60,93,80,5
70,102,114,94,1
74,115,119,101,1
70,111,124,101,1
63,111,124,97,1
67,111,124,101,1
63,97,105,87,1
67,71,78,62,7
67,67,74,58,7
67,75,78,62,7
68,77,74,61,7
64,73,78,57,7
64,81,82,65,7
84,98,102,83,4
84,94,98,79,4
80,102,102,79,4
76,89,94,72,7
72,81,86,65,7
72,77,82,61,7
64,62,82,68,5
60,59,98,87,5
57,55,94,87,5
57,55,82,72,5
64,115,125,102,1
64,115,125,98,1
64,111,115,102,1
64,106,111,91,1
64,66,71,54,7
64,69,71,57,7
76,87,91,67,4
76,87,96,70,4
71,79,83,59,7
84,95,100,78,4
80,99,100,81,4
71,79,87,70,5
76,83,91,74,7
76,91,100,78,7
80,99,104,81,3
56,57,87,70,5
56,57,83,67,5
56,57,83,70,5
68,116,122,99,1
68,112,128,99,1
64,112,128,103,1
64,121,122,96,1
64,116,122,99,1
64,103,113,88,1
68,75,75,59,7
68,71,75,59,7
68,79,79,63,7
75,87,89,67,4
75,87,89,67,4
67,75,85,62,7
71,79,89,62,7
79,95,96,75,4
71,79,89,75,5
67,75,89,67,5
67,72,85,67,5
71,91,93,75,7
75,83,81,62,7
71,83,81,67,7
71,87,85,71,7
79,99,104,83,3
51,51,70,50,5
55,54,85,71,5
55,58,81,71,5
67,103,113,87,1
67,111,118,96,1
67,111,123,100,1
67,111,123,96,1
67,72,70,62,7
67,72,77,58,7
74,87,92,70,4
74,87,88,66,4
66,75,76,63,7
66,79,84,63,7
66,79,80,59,7
82,96,104,78,4
70,83,84,66,7
74,91,100,78,7
66,67,66,41,5
52,49,56,33,5
56,60,84,74,5
56,56,88,74,5
66,109,122,96,1
66,113,127,100,1
70,113,122,100,1
70,118,127,100,1
66,71,73,63,7
63,67,69,55,7
66,71,73,63,7
66,75,76,63,7
75,88,90,72,4
75,88,90,68,4
75,88,93,68,4
75,91,93,72,4
63,81,82,64,7
63,81,79,64,7
79,99,101,79,4
83,103,105,83,4
71,63,86,75,5
56,54,75,64,5
67,73,82,64,7
75,88,97,72,7
75,91,90,75,7
52,57,75,68,5
52,54,79,75,5
52,54,90,72,5
52,57,79,64,5
59,84,90,75,1
67,108,119,98,1
67,112,119,98,1
67,112,124,98,1
63,112,119,98,1
71,112,124,101,1
67,112,124,101,1
67,112,130,101,1
67,73,79,64,7
70,88,89,69,4
74,84,89,69,4
67,88,89,69,4
63,75,85,65,7
67,84,82,65,7
78,97,101,83,4
57,53,82,73,5
57,53,78,69,5
82,97,101,83,3
82,97,105,87,3
82,97,105,83,3
78,97,105,83,3
53,53,74,69,5
53,56,74,69,5
53,53,82,73,5
67,111,114,94,1
67,111,119,94,1
67,111,119,101,1
70,115,129,101,1
70,111,119,97,1
67,71,74,65,7
63,67,70,58,7
72,85,90,68,4
76,85,90,68,4
76,94,94,68,4
64,81,82,61,7
64,81,78,65,7
68,73,90,79,5
64,66,78,65,5
72,81,86,68,7
84,98,111,87,3
84,98,106,83,3
53,55,82,61,5
53,52,78,68,5
53,62,78,61,5
64,111,125,102,1
68,115,120,98,1
68,115,125,98,1
68,115,125,98,1
60,111,125,98,1
64,111,120,98,1
68,115,120,102,1
64,66,64,57,7
71,87,87,70,4
71,87,91,70,4
68,83,83,63,7
68,75,83,81,5
64,68,83,74,5
64,64,83,67,5
71,79,91,70,7
84,99,104,85,3
80,103,108,85,3
56,57,63,41,5
60,54,75,59,5
53,54,79,67,5
53,51,75,59,5
53,57,75,63,5
60,83,91,74,1
60,99,108,88,1
68,112,118,96,1
64,107,122,96,1
68,116,128,99,1
71,112,122,99,1
64,68,67,56,7
75,87,93,71,4
75,91,93,71,4
75,87,96,71,4
71,83,93,67,4
63,75,85,62,7
59,64,77,71,5
75,83,89,71,7
79,107,109,87,3
84,99,104,83,3
55,61,63,46,5
51,54,67,50,5
55,58,70,58,5
55,54,74,62,5
51,54,74,58,5
55,54,70,58,5
55,51,77,67,5
51,58,81,75,5
71,111,113,96,1
71,111,123,104,1
67,111,123,100,1
63,68,70,54,7
63,68,70,54,7
63,64,70,58,7
78,87,92,74,4
78,87,88,70,4
66,79,80,66,7
59,63,73,66,5
66,63,84,66,5
74,79,88,74,7
74,87,96,70,7
82,104,112,89,3
82,104,112,89,3
78,96,104,81,3
52,53,69,52,5
56,53,76,59,5
59,71,88,78,5
70,113,122,96,1
66,113,122,100,1
66,109,122,96,1
66,113,122,103,1
66,109,122,96,1
66,109,122,96,1
63,96,104,89,1
63,67,73,55,7
63,67,69,55,7
75,91,97,72,4
79,91,90,68,4
79,88,90,72,4
71,84,86,68,4
67,77,86,64,7
75,88,97,79,4
75,81,86,75,4
63,66,79,68,5
75,81,93,68,7
75,84,90,72,7
83,103,110,86,3
83,99,110,86,3
79,95,105,83,3
56,54,65,49,5
56,57,72,57,5
56,57,75,57,5
67,77,97,83,5
71,103,110,86,1
67,99,110,86,1
67,103,119,94,1
63,103,114,94,1
67,108,119,98,1
67,108,124,98,1
67,66,72,57,7
82,84,89,73,4
78,84,89,69,4
78,88,89,69,4
70,79,85,62,7
67,79,82,65,7
67,84,89,65,7
67,75,89,73,7
67,75,85,73,7
85,111,114,90,3
70,79,82,65,5
57,60,70,55,5
60,63,78,62,5
60,71,85,69,5
60,56,78,69,5
82,92,105,90,3
70,111,119,94,1
67,106,119,97,1
63,102,119,94,1
63,102,114,94,1
63,106,119,94,1
63,106,119,97,1
63,111,124,97,1
76,89,94,72,4
80,94,94,76,4
80,89,94,72,4
76,85,86,68,4
76,85,90,68,4
80,85,86,68,4
80,89,94,72,4
68,77,82,65,7
68,77,86,65,7
68,77,82,65,7
64,73,78,57,7
72,81,90,76,4
68,77,86,68,7
60,62,74,57,5
53,49,74,57,5
80,106,115,94,3
64,73,71,54,5
60,66,74,61,5
60,69,86,76,5
60,85,94,79,1
64,102,115,94,1
68,106,115,94,1
64,111,125,102,1
72,111,111,98,1
68,102,106,87,1
64,77,74,61,7
80,91,96,74,4
76,91,91,70,4
71,87,91,70,4
80,91,91,67,4
71,83,87,67,4
68,83,83,63,7
68,79,87,63,7
64,61,75,52,5
71,79,91,78,5
76,87,91,70,7
80,103,113,88,3
80,103,113,88,3
84,103,113,88,3
84,103,113,92,3
88,103,113,96,3
71,103,113,92,1
64,99,104,85,1
64,95,104,88,1
64,103,118,96,1
64,107,118,96,1
64,103,118,96,1
64,107,118,96,1
68,107,128,96,1
68,99,113,85,1
71,75,79,63,7
75,91,96,75,4
79,87,96,71,4
75,87,93,71,4
75,87,85,67,4
71,79,93,75,5
88,111,118,100,3
75,99,109,96,1
75,99,113,92,1
75,107,113,92,1
75,107,113,92,1
63,99,113,87,1
67,99,109,92,1
63,107,123,100,1
67,111,118,100,1
67,111,123,100,1
67,111,113,100,1
67,111,118,96,1
71,111,118,96,1
71,111,118,100,1
78,87,96,70,4
78,87,96,70,4
74,87,92,66,4
74,83,88,66,4
74,83,84,66,4
74,87,88,70,7
66,71,73,55,7
63,75,80,59,7
90,109,117,96,3
86,104,112,92,3
86,113,122,100,3
70,100,112,92,1
63,87,100,81,1
66,104,112,92,1
66,109,117,92,1
63,104,117,92,1
63,104,112,92,1
66,104,117,92,1
63,100,112,92,1
66,113,122,96,1
70,113,117,96,1
70,109,112,96,1
66,100,108,85,1
75,84,90,68,4
71,81,82,64,4
67,73,82,60,7
67,73,79,60,7
67,84,79,68,7
67,84,90,64,7
67,81,82,64,7
67,81,82,64,7
63,63,79,57,5
92,108,114,94,3
83,103,114,90,3
67,99,114,94,1
63,91,105,90,1
59,99,114,90,1
63,99,114,90,1
63,99,110,86,1
59,95,105,86,1
67,95,105,79,1
67,95,101,86,1
67,108,119,98,1
67,108,119,94,1
67,103,114,94,1
67,112,119,98,1
74,84,85,65,4
70,79,82,62,7
70,79,82,65,7
67,84,85,69,7
67,71,78,62,5
67,102,114,94,1
60,102,114,90,1
57,88,101,87,1
57,88,101,83,1
57,88,105,83,1
57,97,110,87,1
57,92,105,83,1
57,88,105,83,1
63,111,119,97,1
67,97,105,80,1
63,102,114,90,1
63,106,114,97,1
67,111,124,94,1
67,115,124,97,1
70,111,119,97,1
67,111,119,94,1
67,102,105,87,1
64,69,74,57,7
72,77,86,65,7
68,77,90,68,7
76,85,98,79,7
64,98,102,91,1
60,98,111,87,1
53,85,94,76,1
64,106,120,94,1
64,89,106,83,1
64,102,115,91,1
68,111,120,98,1
64,111,125,98,1
72,111,120,98,1
68,111,115,94,1
68,111,115,94,1
68,75,71,56,7
68,71,75,56,7
64,75,75,56,7
64,71,75,63,7
68,83,83,70,7
68,83,87,67,7
68,79,83,59,7
68,75,79,59,7
76,87,96,70,7
76,83,87,70,7
76,87,96,78,7
88,107,113,92,3
84,112,122,99,3
64,99,108,92,1
53,83,100,85,1
53,83,104,81,1
53,75,79,74,1
56,79,91,78,1
60,87,100,85,1
56,87,104,81,1
53,87,104,88,1
53,83,100,81,1
53,79,96,78,1
64,107,113,96,1
68,107,118,96,1
64,112,122,96,1
68,112,128,99,1
63,75,74,58,7
63,68,70,58,7
63,72,77,58,7
75,83,96,79,7
75,83,96,79,7
88,107,118,96,3
84,111,118,96,3
71,103,113,96,1
63,91,104,87,1
59,91,100,87,1
55,83,100,83,1
51,75,96,79,1
55,72,85,75,1
